profile,horizon_days,rows,rmsle,log_r2,wape_pct,total_view_capture_pct,median_absolute_error_views
current_v4,7,28616,1.8099461203204836,0.4861289859076632,89.05370498448158,24.416796245929387,900.8781174427226
current_v4,14,28616,1.7954529476794405,0.487369228380351,88.94224643851032,24.85838289777158,959.492279225674
current_v4,21,28616,1.785606418462959,0.4887578571746223,89.62547782940429,23.695971787571963,1003.7133359986296
current_v4,30,28616,1.7767839602849762,0.49001442302866716,88.87846083804357,25.095261010765068,1003.244457991343
compact_v4,7,28616,1.814105578735596,0.48376440597824943,89.06230760620396,24.6031612976298,936.3878879627414
compact_v4,14,28616,1.788406301809561,0.4913851941916554,89.01008810800533,24.32595733681652,944.1512291790464
compact_v4,21,28616,1.7984460777709874,0.48137910316610677,89.67259982660694,24.90438068752506,975.9766564328843
compact_v4,30,28616,1.789293832490246,0.4828077912911919,89.81725790131613,23.46067487864905,1002.2380454716331
enhanced_v5,7,28616,1.7494717458713176,0.5198944861648982,88.39339156100452,26.42167170832503,925.7463070313547
enhanced_v5,14,28616,1.7653188328986336,0.5044323777646009,88.91624996310486,24.614834454623093,1012.9490873046273
enhanced_v5,21,28616,1.7547175298455457,0.5062926425811777,88.53677292069396,23.752804997032722,982.5817964277857
enhanced_v5,30,28616,1.7475976010733207,0.506631379704704,89.60328493470445,24.771379373995366,1022.3563900960892
enhanced_pruned_v5,7,28616,1.7576983899878527,0.5153686130686472,88.13995571403854,24.82772586690536,913.2369677995914
enhanced_pruned_v5,14,28616,1.7433953806622684,0.5166648307160118,87.95948511276482,25.539931348906293,895.7655441651328
enhanced_pruned_v5,21,28616,1.7535420861405326,0.5069538667639599,88.33669049713431,23.93130621602457,963.9426585272638
enhanced_pruned_v5,30,28616,1.748504368709858,0.5061192632311604,88.92188023023343,25.368159002196837,1022.2869501232077
